,date,team1,team2,toss_winner,toss_decision,winner,venue,batting_team,bowling_team
142,2009-05-03,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,New Wanderers Stadium,Mumbai Indians,Royal Challengers Bangalore
144,2009-05-05,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Kingsmead,Rajasthan Royals,Kings XI Punjab
145,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Kingsmead,Kolkata Knight Riders,Delhi Daredevils
147,2009-05-07,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals
148,2009-05-07,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,SuperSport Park,Chennai Super Kings,Kings XI Punjab
149,2009-05-08,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Buffalo Park,Mumbai Indians,Delhi Daredevils
151,2009-05-09,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,De Beers Diamond Oval,Rajasthan Royals,Chennai Super Kings
152,2009-05-10,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,St George's Park,Mumbai Indians,Royal Challengers Bangalore
153,2009-05-10,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,New Wanderers Stadium,Kolkata Knight Riders,Delhi Daredevils
155,2009-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SuperSport Park,Kolkata Knight Riders,Royal Challengers Bangalore
156,2009-05-12,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,SuperSport Park,Kings XI Punjab,Mumbai Indians
158,2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,Kingsmead,Chennai Super Kings,Royal Challengers Bangalore
159,2009-05-14,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Kingsmead,Rajasthan Royals,Mumbai Indians
160,2009-05-15,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab
161,2009-05-16,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,St George's Park,Mumbai Indians,Chennai Super Kings
164,2009-05-17,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals
165,2009-05-18,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders
166,2009-05-19,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,New Wanderers Stadium,Delhi Daredevils,Royal Challengers Bangalore
167,2009-05-20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead,Rajasthan Royals,Kolkata Knight Riders
168,2009-05-20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,Kingsmead,Chennai Super Kings,Kings XI Punjab
169,2009-05-21,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park,Mumbai Indians,Delhi Daredevils
172,2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,New Wanderers Stadium,Chennai Super Kings,Royal Challengers Bangalore
175,2010-03-13,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium,Mumbai Indians,Rajasthan Royals
176,2010-03-13,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils
177,2010-03-14,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders
